scope,alpha,segment,weight,component_VaR_pct,share_VaR_%,component_ES_pct,share_ES_%,VaR_portfolio_pct,ES_portfolio_pct
R1,95%,OFZ_short,0.14285714285714285,0.0008138221100392822,-0.3435091765481591,-0.0006476783611120247,0.16048733354642059,-0.23691422692609976,-0.4035697689030924
R1,95%,OFZ_med,0.14285714285714285,-0.0019236455631023762,0.8119586518974294,-0.004753499500038713,1.177863127101612,-0.23691422692609976,-0.4035697689030924
R1,95%,OFZ_long,0.14285714285714285,-0.01878821721035263,7.930387910479182,-0.032484939268315194,8.049398585183836,-0.23691422692609976,-0.4035697689030924
R1,95%,Corp_L1,0.14285714285714285,-0.011913390095686349,5.028566772987623,-0.01942298752077948,4.812795461258508,-0.23691422692609976,-0.4035697689030924
R1,95%,Corp_L2,0.14285714285714285,-0.016704631143889433,7.050919381511048,-0.029205220151249798,7.2367214795672,-0.23691422692609976,-0.4035697689030924
R1,95%,Corp_L3,0.14285714285714285,-0.1762678813850496,74.40156029128319,-0.29636852548491777,73.43675079787346,-0.23691422692609976,-0.4035697689030924
R1,95%,MBS,0.14285714285714285,-0.012130283638058662,5.120116168389685,-0.020686918616679414,5.125983215468967,-0.23691422692609976,-0.4035697689030924
R1,99%,OFZ_short,0.14285714285714285,-0.0012691752918777008,0.26751055228196224,-0.003697182230732058,0.49210069492280456,-0.4744393374583448,-0.7513060373369381
R1,99%,OFZ_med,0.14285714285714285,-0.005956882989156329,1.2555626228357037,-0.010658150713971458,1.4186164072033935,-0.4744393374583448,-0.7513060373369381
R1,99%,OFZ_long,0.14285714285714285,-0.0383094127382885,8.07467039801522,-0.06106392897193378,8.127703750176101,-0.4744393374583448,-0.7513060373369381
R1,99%,Corp_L1,0.14285714285714285,-0.022616412253174255,4.766976611664278,-0.03509218972710519,4.6708249346021695,-0.4744393374583448,-0.7513060373369381
R1,99%,Corp_L2,0.14285714285714285,-0.03452104307036078,7.276176392812641,-0.055288410203487896,7.358973235389126,-0.4744393374583448,-0.7513060373369381
R1,99%,Corp_L3,0.14285714285714285,-0.347440819448839,73.23187434459814,-0.5469653512511746,72.80193743550036,-0.4744393374583448,-0.7513060373369381
R1,99%,MBS,0.14285714285714285,-0.024325591666648255,5.127229077792061,-0.03854082423853309,5.12984354220605,-0.4744393374583448,-0.7513060373369381
R2,95%,OFZ_short,0.14285714285714285,-0.006552439405316612,1.6941969295776471,-0.009741352451072884,1.7833973364901274,-0.3867578373518889,-0.5462244588883746
R2,95%,OFZ_med,0.14285714285714285,-0.01287827951810856,3.329804408434353,-0.01769703505542593,3.2398833057460106,-0.3867578373518889,-0.5462244588883746
R2,95%,OFZ_long,0.14285714285714285,-0.026667383097001306,6.8951112353899555,-0.03520337879571108,6.4448558139182825,-0.3867578373518889,-0.5462244588883746
R2,95%,Corp_L1,0.14285714285714285,-0.08828244596113921,22.826284934677627,-0.12567263413962476,23.007507645370197,-0.3867578373518889,-0.5462244588883746
R2,95%,Corp_L2,0.14285714285714285,-0.013677899104441506,3.5365538286420724,-0.02067867764899497,3.7857472898738918,-0.3867578373518889,-0.5462244588883746
R2,95%,Corp_L3,0.14285714285714285,-0.09710386299591742,25.10714809576519,-0.13765528366628052,25.201230268308343,-0.3867578373518889,-0.5462244588883746
R2,95%,MBS,0.14285714285714285,-0.14159552726996427,36.61090056751315,-0.19957609713126445,36.53737834029316,-0.3867578373518889,-0.5462244588883746
R2,99%,OFZ_short,0.14285714285714285,-0.011486640240285199,1.8132019496732055,-0.015388777804180602,1.8571285917838658,-0.6335003247903768,-0.8286328621648598
R2,99%,OFZ_med,0.14285714285714285,-0.020334333431959343,3.209837885827116,-0.02623084008597998,3.165556337875633,-0.6335003247903768,-0.8286328621648598
R2,99%,OFZ_long,0.14285714285714285,-0.03987511767600216,6.294411559961979,-0.05032025336432433,6.072683773711224,-0.6335003247903768,-0.8286328621648598
R2,99%,Corp_L1,0.14285714285714285,-0.14613623346890198,23.0680597547062,-0.19188901998860614,23.157302678931053,-0.6335003247903768,-0.8286328621648598
R2,99%,Corp_L2,0.14285714285714285,-0.02451019426091658,3.869010527978328,-0.033076749868812254,3.9917255734218644,-0.6335003247903768,-0.8286328621648598
R2,99%,Corp_L3,0.14285714285714285,-0.15984902125513725,25.232666030286687,-0.209470073819655,25.278996692503856,-0.6335003247903768,-0.8286328621648598
R2,99%,MBS,0.14285714285714285,-0.2313087844571743,36.51281229156648,-0.30225714723330155,36.4766063517725,-0.6335003247903768,-0.8286328621648598
R3,95%,OFZ_short,0.14285714285714285,-0.06711670091636035,17.550651945799544,-0.08853377149656391,17.4350114968541,-0.3824171382557878,-0.5077930204550687
R3,95%,OFZ_med,0.14285714285714285,-0.015848647100505483,4.144334946072626,-0.022282188625183226,4.388045468843704,-0.3824171382557878,-0.5077930204550687
R3,95%,OFZ_long,0.14285714285714285,-0.046315227058090505,12.11117976284619,-0.06129419709914764,12.07070491914553,-0.3824171382557878,-0.5077930204550687
R3,95%,Corp_L1,0.14285714285714285,-0.026848397438322066,7.020709783243016,-0.03655539628956234,7.198877262393742,-0.3824171382557878,-0.5077930204550687
R3,95%,Corp_L2,0.14285714285714285,-0.07523386804735029,19.673246965471648,-0.09867538624995428,19.432206090884115,-0.3824171382557878,-0.5077930204550687
R3,95%,Corp_L3,0.14285714285714285,-0.10287427611493027,26.901063217025754,-0.1348179700735793,26.549787933823808,-0.3824171382557878,-0.5077930204550687
R3,95%,MBS,0.14285714285714285,-0.04818002158022878,12.598813379541204,-0.06563411062107787,12.925366828054976,-0.3824171382557878,-0.5077930204550687
R3,99%,OFZ_short,0.14285714285714285,-0.10156389864802463,17.388946651902494,-0.12178300905340309,17.33727363312024,-0.5840715983616679,-0.702434602063124
R3,99%,OFZ_med,0.14285714285714285,-0.02619634970462795,4.4851264430780775,-0.03227003218598855,4.594026560082331,-0.5840715983616679,-0.702434602063124
R3,99%,OFZ_long,0.14285714285714285,-0.07040738947071802,12.054581949920541,-0.08454851338796067,12.036496086558495,-0.5840715983616679,-0.702434602063124
R3,99%,Corp_L1,0.14285714285714285,-0.04246112596520044,7.269849464398666,-0.051625165498203805,7.349462191437508,-0.5840715983616679,-0.702434602063124
R3,99%,Corp_L2,0.14285714285714285,-0.11293718557770849,19.336188558817014,-0.13506750647445337,19.228481352960966,-0.5840715983616679,-0.702434602063124
R3,99%,Corp_L3,0.14285714285714285,-0.15425248575161415,26.409859028293,-0.18440941465964814,26.252894449962795,-0.5840715983616679,-0.702434602063124
